# ASTM 2000, Standard Solar Constant and Air Mass Zero Solar Spectral Irradiance Tables, Standard E490-00, American Society for Testing and Materials, West Conshohocken, PA.
#
# Solar constant 1366.1 W/m2
#
# Irradiance is averaged over a small bandwidth centered at the given wavelength.
#
# Table 3
# Units: μm, W/m2/μm, W/m2
wavelength, spectral irradiance, integrated irradiance, cumulative percent
1.830, 160.6, 1258.37, 92.11
0.3825, 791.3, 87.88, 6.43
1.832, 159.3, 1258.69, 92.14
0.3835, 684.1, 88.62, 6.49
1.834, 158.5, 1259.01, 92.16
0.3845, 959.7, 89.44, 6.55
1.836, 158.1, 1259.33, 92.18
0.3855, 1008, 90.42, 6.62
1.838, 156.2, 1259.64, 92.21
0.3865, 1007, 91.43, 6.69
1.840, 156.2, 1259.95, 92.23
0.3875, 1004, 92.43, 6.77
1.842, 154.0, 1260.26, 92.25
0.3885, 984.3, 93.43, 6.84
1.844, 154.1, 1260.57, 92.28
0.3895, 1174, 94.51, 6.92
1.846, 153.5, 1260.88, 92.30
0.3905, 1247, 95.72, 7.01
1.848, 151.0, 1261.18, 92.32
0.3915, 1342, 97.01, 7.10
1.850, 154.6, 1261.49, 92.34
0.3925, 1019, 98.19, 7.19
1.852, 153.4, 1261.80, 92.37
0.3935, 582.3, 98.99, 7.25
1.854, 152.5, 1262.10, 92.39
0.3945, 1026, 99.80, 7.31
1.856, 150.9, 1262.41, 92.41
0.3955, 1314, 100.97, 7.39
1.858, 152.5, 1262.71, 92.43
0.3965, 854.5, 102.05, 7.47
1.860, 150.3, 1263.01, 92.45
0.3975, 928.8, 102.94, 7.54
1.862, 150.4, 1263.32, 92.48
0.3985, 1522, 104.17, 7.63
1.864, 150.9, 1263.62, 92.50
0.3995, 1663, 105.76, 7.74
1.866, 149.4, 1263.92, 92.52
0.4005, 1682, 107.43, 7.86
1.868, 149.2, 1264.22, 92.54
0.4015, 1746, 109.15, 7.99
1.870, 150.8, 1264.52, 92.56
0.4025, 1759, 110.90, 8.12
1.872, 147.3, 1264.81, 92.59
0.4035, 1684, 112.62, 8.24
1.874, 140.1, 1265.10, 92.61
0.4045, 1674, 114.30, 8.37
